gkaramba
  1	 0.000    0     0 
  2	 1.100    0     1 
  3	 1.400    0     2 
  4	 1.600    0     4 
  5	 1.800    0     5 
  6	63.656  -30    16 
  7	64.250  -29    16 
  8	64.456  -29    17 
-------------
  1	 1.400    0     2 
  2	 1.600    0     4 
  3	 1.800    0     5 
  4	60.063  -28    20 
  5	60.781  -29    19 
  6	61.710  -30    18 
  7	62.332  -31    18 
  8	62.638  -32    18 
  9	63.350  -31    17 
  10	63.656  -30    16 
  11	64.250  -29    16 
  12	64.456  -29    17 
  13	64.667  -28    18 
-------------
  1	 4.022    0    16 
  2	50.926    0    15 
  3	293.512    0    17 
  4	293.915    1    18 
-------------
  1	204.917  -29   -39 
  2	205.017   29   -39 
  3	205.117   29    39 
  4	206.224  -29    39 
  5	206.324   29    38 
  6	206.426  -29   -38 
  7	206.728   29   -38 
  8	206.827  -29    38 
  9	207.431   28    38 
  10	207.531   28   -38 
  11	207.733  -28    38 
  12	208.537   28    37 
  13	208.738   28   -37 
  14	208.940  -28    37 
  15	209.041   28   -36 
  16	209.142   28    36 
  17	209.242  -28   -36 
  18	209.443  -27    35 
  19	209.545   27   -35 
  20	209.746   27    35 
-------------
  1	 2.433   22    43 
  2	 2.735   23    43 
  3	 8.681   24    43 
  4	10.693   25    43 
-------------
